FirstName,LastName,Address1,Address2,City,State,Zip,BarcodeData
Alice,Patel,12 Greenway Ln,,Mumbai,MH,400001,A1001
Raj,Singh,88 MG Road,Suite 5,Delhi,DL,110001,A1002
Sara,Khan,5 Palm Ave,,Bengaluru,KA,560001,A1003
Tom,Brown,220 Lakeview Dr,Apt 2B,Chennai,TN,600001,A1004
Meera,Iyer,7 Sea St,,Kochi,KL,682001,A1005
Vikram,Desai,33 Hill Rd,,Pune,MH,411001,A1006
Anita,Ghosh,14 River Rd,,Kolkata,WB,700001,A1007
Omar,Ali,9 Orchard Rd,,Hyderabad,TG,500001,A1008
Priya,Shah,101 Market St,,Surat,GJ,395001,A1009
Karan,Mehta,50 Sunrise Blvd,,Ahmedabad,GJ,380001,A1010
